2018-02-25 18:23:16,636 - collector - INFO - Tweets in MongoDB: 143630
2018-02-25 18:23:18,404 - collector - INFO - Tweets in MySQL: 136640
2018-02-25 18:23:18,429 - ctews.twitter - INFO - Tracking: ['malware', 'ransomware', 'cybersecurity', 'virus', 'mitm', 'vulnerability', 'vulnerabilities', 'cve', 'xss', 'trojan', 'rsa', 'pkcs', 'phishing', 'hacked', 'hijacking', 'hack', 'hacking', 'cert', 'spoofing', 'injection', 'piggybacking', 'zeroday', 'breach', 'zero day', 'exploit', 'cwe']
2018-02-25 18:23:18,433 - requests.packages.urllib3.connectionpool - INFO - Starting new HTTPS connection (1): stream.twitter.com
2018-02-25 18:23:19,135 - ctews.twitter - INFO - You are now connected to the streaming API.
2018-02-25 18:35:17,718 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x94\\x8C\\xE2\\x9C...' for column 'text' at row 1")
2018-02-25 18:35:19,273 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x94\\x8C\\xE2\\x9C...' for column 'text' at row 1")
2018-02-25 18:35:20,164 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x94\\x8C\\xE2\\x9C...' for column 'text' at row 1")
2018-02-25 18:35:21,683 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x94\\x8C\\xE2\\x9C...' for column 'text' at row 1")
2018-02-25 18:35:22,708 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x94\\x8C\\xE2\\x9C...' for column 'text' at row 1")
2018-02-25 18:35:22,847 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\xA4\\xADIt...' for column 'text' at row 1")
2018-02-25 18:35:23,061 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x93\\x8CKu...' for column 'text' at row 1")
2018-02-25 18:35:23,831 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x94\\x8C\\xE2\\x9C...' for column 'text' at row 1")
2018-02-25 18:35:25,729 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x94\\x8C\\xE2\\x9C...' for column 'text' at row 1")
2018-02-25 18:35:27,055 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x98\\xA1\\xF0\\x9F...' for column 'text' at row 1")
2018-02-25 18:35:27,356 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x86\\x98\\xEF\\xB8...' for column 'text' at row 1")
2018-02-25 18:35:30,848 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x94\\x8C\\xE2\\x9C...' for column 'text' at row 1")
2018-02-25 18:35:32,444 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x94\\x8C\\xE2\\x9C...' for column 'text' at row 1")
2018-02-25 18:35:33,005 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x94\\x8C\\xE2\\x9C...' for column 'text' at row 1")
2018-02-25 18:35:35,945 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x94\\x8C\\xE2\\x9C...' for column 'text' at row 1")
2018-02-25 18:35:36,281 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x94\\xB76/...' for column 'text' at row 1")
2018-02-25 18:35:38,887 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x94\\x8C\\xE2\\x9C...' for column 'text' at row 1")
2018-02-25 18:35:39,388 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x93\\x9D O...' for column 'text' at row 1")
2018-02-25 18:35:42,876 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x94\\x8C\\xE2\\x9C...' for column 'text' at row 1")
2018-02-25 18:35:45,080 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x86\\x98\\xEF\\xB8...' for column 'text' at row 1")
2018-02-25 18:35:45,489 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x94\\x8C\\xE2\\x9C...' for column 'text' at row 1")
2018-02-25 18:35:48,415 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x98\\x96' for column 'text' at row 1")
2018-02-25 18:35:56,320 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x94\\x8C\\xE2\\x9C...' for column 'text' at row 1")
2018-02-25 18:35:57,398 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\xA4\\xADIt...' for column 'text' at row 1")
2018-02-25 18:35:57,871 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x93\\x8CKu...' for column 'text' at row 1")
2018-02-25 18:35:59,315 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x93\\x8CKu...' for column 'text' at row 1")
2018-02-25 18:36:04,724 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x98\\xAD' for column 'text' at row 1")
2018-02-25 18:36:06,610 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x87\\xBA\\xF0\\x9F...' for column 'text' at row 1")
2018-02-25 18:36:15,427 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x94\\x8C\\xE2\\x9C...' for column 'text' at row 1")
2018-02-25 18:36:18,055 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x87\\xBA\\xF0\\x9F...' for column 'text' at row 1")
2018-02-25 18:36:26,314 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x93\\x8CKu...' for column 'text' at row 1")
2018-02-25 18:36:30,041 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x94\\x8C\\xE2\\x9C...' for column 'text' at row 1")
2018-02-25 18:36:30,724 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x92\\xAF\\xF0\\x9F...' for column 'text' at row 1")
2018-02-25 18:36:36,473 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x98\\x8D\\xE2\\x9C...' for column 'text' at row 1")
2018-02-25 18:36:38,334 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x86\\x98\\xEF\\xB8...' for column 'text' at row 1")
2018-02-25 18:36:39,071 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x91\\x8F\\x0A3...' for column 'text' at row 1")
2018-02-25 18:36:45,488 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x91\\x87\\xF0\\x9F...' for column 'text' at row 1")
2018-02-25 18:36:45,810 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x94\\x8C\\xE2\\x9C...' for column 'text' at row 1")
2018-02-25 18:36:48,434 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x86\\x98\\xEF\\xB8...' for column 'text' at row 1")
2018-02-25 18:36:48,663 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\xA4\\xADIt...' for column 'text' at row 1")
2018-02-25 18:36:51,939 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x86\\x98\\xEF\\xB8...' for column 'text' at row 1")
2018-02-25 18:36:53,978 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x98\\xA1\\xF0\\x9F...' for column 'text' at row 1")
2018-02-25 18:36:57,634 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x95\\xB5\\xF0\\x9F...' for column 'text' at row 1")
2018-02-25 18:37:06,848 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\xA4\\xA7' for column 'text' at row 1")
2018-02-25 18:37:10,733 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x92\\x8B\\xF0\\x9F...' for column 'text' at row 1")
2018-02-25 18:37:10,901 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x86\\x98\\xEF\\xB8...' for column 'text' at row 1")
2018-02-25 18:37:13,007 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x94\\x8C\\xE2\\x9C...' for column 'text' at row 1")
2018-02-25 18:37:19,108 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x94\\xA5Tw...' for column 'text' at row 1")
2018-02-25 18:37:26,130 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x94\\x8C\\xE2\\x9C...' for column 'text' at row 1")
2018-02-25 18:37:27,880 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x86\\x98\\xEF\\xB8...' for column 'text' at row 1")
2018-02-25 18:37:29,907 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x86\\x98\\xEF\\xB8...' for column 'text' at row 1")
2018-02-25 18:37:31,789 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x94\\x8C\\xE2\\x9C...' for column 'text' at row 1")
2018-02-25 18:37:32,696 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x95\\xB5\\xF0\\x9F...' for column 'text' at row 1")
2018-02-25 18:37:35,306 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x86\\x98\\xEF\\xB8...' for column 'text' at row 1")
2018-02-25 18:37:40,535 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x87\\xBA\\xF0\\x9F...' for column 'text' at row 1")
2018-02-25 18:37:40,680 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x86\\x98\\xEF\\xB8...' for column 'text' at row 1")
2018-02-25 18:37:53,149 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x92\\xAA\\xF0\\x9F...' for column 'text' at row 1")
2018-02-25 18:37:53,222 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x98\\x9C' for column 'text' at row 1")
2018-02-25 18:37:55,804 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x94\\x8C\\xE2\\x9C...' for column 'text' at row 1")
2018-02-25 18:37:59,015 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x86\\x98\\xEF\\xB8...' for column 'text' at row 1")
2018-02-25 18:38:02,918 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x94\\xA5Tw...' for column 'text' at row 1")
2018-02-25 18:38:07,775 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x91\\x89So...' for column 'text' at row 1")
2018-02-25 18:38:14,611 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x95\\xB5\\xF0\\x9F...' for column 'text' at row 1")
2018-02-25 18:38:15,446 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x94\\x8C\\xE2\\x9C...' for column 'text' at row 1")
2018-02-25 18:38:16,165 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x98\\x9C' for column 'text' at row 1")
2018-02-25 18:38:24,234 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x94\\x8C\\xE2\\x9C...' for column 'text' at row 1")
2018-02-25 18:38:26,017 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x94\\x8C\\xE2\\x9C...' for column 'text' at row 1")
2018-02-25 18:38:29,207 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x94\\x8C\\xE2\\x9C...' for column 'text' at row 1")
2018-02-25 18:38:32,139 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x86\\x98\\xEF\\xB8...' for column 'text' at row 1")
2018-02-25 18:38:34,955 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x93\\x8CKu...' for column 'text' at row 1")
2018-02-25 18:38:35,969 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x86\\x98\\xEF\\xB8...' for column 'text' at row 1")
2018-02-25 18:38:41,733 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x94\\x8C\\xE2\\x9C...' for column 'text' at row 1")
2018-02-25 18:38:48,140 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x98\\x89 h...' for column 'text' at row 1")
2018-02-25 18:38:48,790 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\xA4\\xADIt...' for column 'text' at row 1")
2018-02-25 18:38:49,232 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x95\\xB5\\xF0\\x9F...' for column 'text' at row 1")
2018-02-25 18:38:56,243 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x98\\x84, ...' for column 'text' at row 1")
2018-02-25 18:38:57,787 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x93\\x8CKu...' for column 'text' at row 1")
2018-02-25 18:39:00,873 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x98\\x82' for column 'text' at row 1")
2018-02-25 18:39:04,200 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x94\\xA5Tw...' for column 'text' at row 1")
2018-02-25 18:39:06,238 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x93\\x8CKu...' for column 'text' at row 1")
2018-02-25 18:39:09,200 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x98\\x9C' for column 'text' at row 1")
2018-02-25 18:39:15,235 - ctews.twitter - INFO - Tweets collected: 138000
2018-02-25 18:39:17,754 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\xA4\\xA3' for column 'text' at row 1")
2018-02-25 18:39:18,440 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x96\\x96\\xF0\\x9F...' for column 'text' at row 1")
2018-02-25 18:39:18,717 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x94\\x8C\\xE2\\x9C...' for column 'text' at row 1")
2018-02-25 18:39:21,086 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x94\\x8C\\xE2\\x9C...' for column 'text' at row 1")
2018-02-25 18:39:21,665 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x92\\x80' for column 'text' at row 1")
2018-02-25 18:39:25,770 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x94\\x8C\\xE2\\x9C...' for column 'text' at row 1")
2018-02-25 18:39:26,770 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x94\\xA5Tw...' for column 'text' at row 1")
2018-02-25 18:39:27,536 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x86\\x98\\xEF\\xB8...' for column 'text' at row 1")
2018-02-25 18:39:34,454 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x93\\x8CKu...' for column 'text' at row 1")
2018-02-25 18:39:38,900 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x93\\x8CKu...' for column 'text' at row 1")
2018-02-25 18:39:44,177 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x86\\x98\\xEF\\xB8...' for column 'text' at row 1")
2018-02-25 18:39:44,501 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x94\\xA5Tw...' for column 'text' at row 1")
2018-02-25 18:39:45,072 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x93\\x8CKu...' for column 'text' at row 1")
2018-02-25 18:39:45,160 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x98\\x80\\x0A\\x0A...' for column 'text' at row 1")
2018-02-25 18:39:56,633 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x87\\xAA\\xF0\\x9F...' for column 'text' at row 1")
2018-02-25 18:39:58,033 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x98\\x82' for column 'text' at row 1")
2018-02-25 18:40:00,482 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x92\\x95\\xF0\\x9F...' for column 'text' at row 1")
2018-02-25 18:40:03,637 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x94\\x8C\\xE2\\x9C...' for column 'text' at row 1")
2018-02-25 18:40:06,529 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x94\\x8C\\xE2\\x9C...' for column 'text' at row 1")
2018-02-25 18:40:06,553 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x95\\xB5\\xF0\\x9F...' for column 'text' at row 1")
2018-02-25 18:40:09,166 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x94\\xA5Tw...' for column 'text' at row 1")
2018-02-25 18:40:09,826 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x94\\x8C\\xE2\\x9C...' for column 'text' at row 1")
2018-02-25 18:40:10,107 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x99\\x84\\xF0\\x9F...' for column 'text' at row 1")
2018-02-25 18:40:10,910 - ctews.twitter - ERROR - (1366, "Incorrect string value: '\\xF0\\x9F\\x94\\x8C\\xE2\\x9C...' for column 'text' at row 1")
